Student_ID,Leadership,Comprehensive,CT1,OB,Peds,Comm,Men,MS5,MS,CT2
2971,82.0,80.5,,75.6,57.3,82.3,67.1,14.37,76.8,75.0
34746,67.2,78.8,75.0,69.4,67.2,73.3,71.7,14.486,74.8,72.5
44196,78.5,82.0,95.0,79.2,72.8,85.1,76.3,15.197999999999999,81.6,85.0
45650,78.5,80.0,72.5,76.5,62.7,69.6,77.4,16.164,81.0,70.0
48582,85.5,80.0,57.5,76.5,55.2,65.8,74.2,14.674000000000001,84.4,72.5
55450,83.2,85.9,65.0,65.5,62.7,93.3,62.9,15.841999999999999,82.3,72.5
60344,79.7,75.3,72.5,70.9,64.1,81.0,78.5,15.868,83.7,77.5
60475,83.2,84.5,75.0,77.7,66.1,77.0,71.7,16.424,76.8,72.5
60549,80.9,83.7,57.5,85.0,71.7,74.5,80.8,15.835999999999999,86.4,72.5
60739,92.6,80.2,75.0,89.9,73.8,82.3,88.6,16.068,84.4,75.0
60799,82.0,84.3,72.5,75.6,67.2,74.5,77.4,14.764000000000001,81.0,70.0
61514,67.2,75.3,80.0,78.5,59.7,86.4,69.1,13.546000000000001,83.1,67.5
62327,89.0,92.6,,63.5,59.7,86.4,70.5,17.16,82.3,77.5
62422,74.0,77.3,70.0,68.3,53.4,69.6,79.8,15.670000000000002,76.8,70.0
62444,79.7,87.0,90.0,73.7,65.3,94.7,87.7,15.280000000000001,82.3,82.5
63122,72.9,82.2,55.0,72.7,67.2,81.0,82.1,16.564,83.1,42.5
63142,76.5,82.0,85.0,71.7,64.1,79.8,68.5,14.45,83.7,80.0
63273,83.2,79.1,57.5,82.2,54.3,74.5,71.7,16.134,76.8,60.0
63316,85.5,84.1,87.5,79.2,80.5,86.4,84.3,16.448,87.7,85.0
63397,84.2,85.4,80.0,78.5,75.0,82.3,79.8,17.042,85.7,75.0
63793,87.8,88.3,42.5,80.4,81.7,85.1,79.8,16.604,87.7,72.5
64335,82.0,83.9,65.0,78.5,66.1,81.0,78.5,16.964000000000002,81.6,70.0
64374,85.5,87.0,80.0,73.7,58.8,90.5,84.3,15.835999999999999,83.7,80.0
64599,74.0,75.3,77.5,63.5,69.4,82.3,80.8,14.762,85.0,85.0
64777,76.5,87.0,67.5,82.2,75.0,90.5,76.3,16.682,89.7,80.0
64782,85.5,84.6,67.5,80.4,67.2,77.0,76.3,16.514000000000003,81.6,75.0
64859,75.1,79.5,72.5,70.1,75.0,90.5,84.3,16.375999999999998,83.7,62.5
64971,72.9,85.0,65.0,70.9,59.7,87.8,83.2,16.97,81.6,72.5
65111,80.9,83.7,77.5,81.2,70.7,85.1,77.4,15.559999999999999,83.1,80.0
65129,71.7,73.1,67.5,86.0,66.1,77.0,71.7,15.854,78.3,75.0
65308,78.5,72.0,92.5,76.5,59.7,74.5,64.0,14.707999999999998,75.6,67.5
65679,85.5,80.0,72.5,78.5,69.4,82.3,75.1,15.892,83.1,72.5
65736,91.3,88.3,77.5,74.7,60.9,85.1,87.7,16.372,83.1,85.0
65960,82.0,72.0,75.0,67.2,62.7,77.0,73.0,14.982000000000003,79.7,72.5
66191,82.0,82.4,82.5,80.4,69.4,82.3,83.2,16.368,86.4,87.5
66343,75.1,90.4,87.5,77.7,64.1,92.0,88.6,16.38,86.4,82.5
66808,75.1,82.2,60.0,67.2,58.8,89.2,77.4,15.606,79.7,75.0
80151,77.5,83.3,55.0,83.3,70.7,79.8,79.8,16.394,78.3,77.5
80171,,,,,,,,16.558,,
82322,79.7,82.4,65.0,74.7,61.8,83.8,77.4,15.841999999999999,79.0,57.5
82495,84.2,82.4,72.5,76.5,66.1,79.8,80.8,15.315999999999999,79.0,72.5
